"Cluster","CO_ID","CI01","CI02","CI06","CI07","CI08","CO_B01","CO_B02","CO_B03","CO_B05","CO_B06","CO_B07","CO_B07B","CO_B07_OTHER","Basicweight"
6,5,1,1,1,1,1,2,"10:15","08/06/2022",2,45,2,999,,34.7765724137931
6,5,1,1,1,1,1,1,"10:13","08/06/2022",1,46,1,999,,34.7765724137931
6,5,1,1,1,1,1,3,"10:16","08/06/2022",1,35,4,999,,34.7765724137931
7,6,1,1,1,1,1,2,"11:23","09/06/2022",2,48,11,999,,22.7114407894737
7,6,1,1,1,1,1,3,"11:27","09/06/2022",2,53,5,999,,22.7114407894737
7,6,1,1,1,1,1,1,"11:20","09/06/2022",1,77,1,999,,22.7114407894737
7,6,1,1,1,1,1,4,"11:45","09/06/2022",2,39,9,999,,22.7114407894737
8,7,1,1,1,1,1,1,"10:31","10/06/2022",1,55,1,999,,28.8663050239234
8,7,1,1,1,1,1,4,"10:37","10/06/2022",2,25,2,999,,28.8663050239234
8,7,1,1,1,1,1,3,"10:33","10/06/2022",1,26,7,999,,28.8663050239234
8,7,1,1,1,1,1,2,"10:33","10/06/2022",1,33,4,999,,28.8663050239234
9,8,1,1,1,1,1,2,"11:04","08/06/2022",2,46,3,999,,19.4070469002695
9,8,1,1,1,1,1,1,"11:03","08/06/2022",2,47,4,8,,19.4070469002695
9,8,1,1,1,1,1,3,"11:05","08/06/2022",2,46,2,8,,19.4070469002695
10,9,1,1,1,1,1,3,"10:28","09/06/2022",2,48,1,8,,45.3452229357798
10,9,1,1,1,1,1,1,"10:26","09/06/2022",2,45,5,999,,45.3452229357798
10,9,1,1,1,1,1,4,"10:29","09/06/2022",2,58,6,999,,45.3452229357798
10,9,1,1,1,1,1,2,"10:27","09/06/2022",2,42,5,3,,45.3452229357798
10,9,1,1,1,1,1,5,"10:32","09/06/2022",2,54,555,3,7,45.3452229357798
11,10,1,1,1,1,1,3,"12:07","10/06/2022",1,58,3,4,,24.2731346260388
11,10,1,1,1,1,1,4,"12:07","10/06/2022",2,30,4,2,,24.2731346260388
11,10,1,1,1,1,1,1,"12:05","10/06/2022",2,38,5,2,,24.2731346260388
11,10,1,1,1,1,1,2,"12:06","10/06/2022",2,44,2,8,,24.2731346260388
12,11,1,2,2,1,1,3,"10:19","09/06/2022",2,42,11,555,6,30.805986784141
12,11,1,2,2,1,1,2,"10:17","09/06/2022",1,37,555,999,9,30.805986784141
12,11,1,2,2,1,1,1,"10:16","09/06/2022",1,42,3,999,,30.805986784141
13,12,1,2,2,1,1,2,"11:42","08/06/2022",1,35,3,999,,13.4902167539267
13,12,1,2,2,1,1,1,"11:41","08/06/2022",2,30,1,999,,13.4902167539267
14,13,1,2,1,1,2,2,"11:20","09/06/2022",1,43,4,999,,27.6634577777778
14,13,1,2,1,1,2,3,"11:21","09/06/2022",1,37,9,999,,27.6634577777778
14,13,1,2,1,1,2,1,"11:19","09/06/2022",1,37,3,999,,27.6634577777778
15,14,1,2,1,1,1,1,"12:10","08/06/2022",2,53,1,8,,20.4148122137405
15,14,1,2,1,1,1,3,"12:11","08/06/2022",2,40,2,999,,20.4148122137405
15,14,1,2,1,1,1,2,"12:10","08/06/2022",1,40,3,4,,20.4148122137405
15,14,1,2,1,1,1,4,"12:13","08/06/2022",1,22,7,999,,20.4148122137405
16,15,1,2,1,1,1,2,"12:48","10/06/2022",1,55,2,4,,7.50649791666667
16,15,1,2,1,1,1,1,"12:47","10/06/2022",1,45,4,999,,7.50649791666667
16,15,1,2,1,1,1,3,"12:52","10/06/2022",2,50,6,999,,7.50649791666667
17,16,1,2,1,1,1,3,"09:06","09/06/2022",2,35,4,999,,3.57904556634304
17,16,1,2,1,1,1,2,"09:06","09/06/2022",1,43,7,999,,3.57904556634304
17,16,1,2,1,1,1,1,"09:05","09/06/2022",1,38,1,999,,3.57904556634304
17,16,1,2,1,1,1,4,"09:07","09/06/2022",2,37,6,999,,3.57904556634304
17,16,1,2,1,1,1,5,"09:08","09/06/2022",2,38,11,999,,3.57904556634304
18,17,1,2,2,1,1,2,"12:08","06/06/2022",2,29,4,999,,41.0282164502164
18,17,1,2,2,1,1,1,"12:06","06/06/2022",1,37,3,999,,41.0282164502164
19,18,1,2,1,1,1,1,"09:55","08/06/2022",1,53,2,1,,19.94468875
19,18,1,2,1,1,1,3,"09:57","08/06/2022",2,27,7,1,,19.94468875
19,18,1,2,1,1,1,2,"09:56","08/06/2022",2,44,9,1,,19.94468875
19,18,1,2,1,1,1,4,"09:58","08/06/2022",1,50,11,1,,19.94468875
19,18,1,2,1,1,1,5,"09:59","08/06/2022",1,49,1,2,,19.94468875
20,19,1,2,2,1,1,2,"10:17","08/06/2022",1,33,555,999,4,39.7495568493151
20,19,1,2,2,1,1,1,"10:15","08/06/2022",1,40,1,8,,39.7495568493151
